Inits,Part,Answer,Image,Freq
MM,4,6,/Users/abardon/Desktop/cns186_images/food/32.jpg,l
MM,4,6,/Users/abardon/Desktop/cns186_images/people/42.jpg,l
MM,4,1,/Users/abardon/Desktop/cns186_images/people/24.jpg,l
MM,4,1,/Users/abardon/Desktop/cns186_images/buildings/2.jpg,l
MM,4,6,/Users/abardon/Desktop/cns186_images/buildings/22.jpg,l
MM,4,1,/Users/abardon/Desktop/cns186_images/people/5.jpg,l
MM,4,6,/Users/abardon/Desktop/cns186_images/space/6.jpg,h
MM,4,3,/Users/abardon/Desktop/cns186_images/space/30.jpg,h
MM,4,1,/Users/abardon/Desktop/cns186_images/buildings/42.jpg,l
MM,4,1,/Users/abardon/Desktop/cns186_images/people/1.jpg,l
MM,4,1,/Users/abardon/Desktop/cns186_images/space/13.jpg,h
MM,4,1,/Users/abardon/Desktop/cns186_images/buildings/1.jpg,l
MM,4,6,/Users/abardon/Desktop/cns186_images/space/21.jpg,h
MM,4,6,/Users/abardon/Desktop/cns186_images/people/14.jpg,l
MM,4,2,/Users/abardon/Desktop/cns186_images/space/17.jpg,h
SA,2,1,/Users/abardon/Desktop/cns186_images/people/8.jpg,h
SA,2,1,/Users/abardon/Desktop/cns186_images/people/9.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/landscapes/37.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/landscapes/8.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/animals/7.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/34.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/animals/8.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/landscapes/15.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/44.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/39.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/animals/17.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/22.jpg,h
